date,new_confirmed,cumulative_confirmed,new_deceased,cumulative_deceased,new_persons_vaccinated,cumulative_persons_fully_vaccinated,new_hospitalized_patients,cumulative_hospitalized_patients,new_recovered,cumulative_recovered,cumulative_tested,investment_in_vaccines,new_recovered_1,cumulative_recovered_1,current_hospitalized_patients
2/27/2021,1774,966154,54,17237,44988,848008,79,50197,3140,907410,9994327,,3140,907410,1204
2/27/2021,152,184888,15,3700,11888,233526,18,13097,1941,143774,2681383,0,1941,143774,227
2/27/2021,868,616886,15,7014,27999,472886,75,26088,844,548884,6886832,0,844,548884,304
2/27/2021,557,319195,10,5417,10971,214402,16,14763,543,309268,2641892,,543,309268,475
2/27/2021,197,44492,1,702,15153,108382,6,1525,4,12798,1588504,,4,12798,74
2/27/2021,1700,579680,43,16067,32201,471242,0,19444,0,494740,16105520,,0,494740,785
2/27/2021,278,200681,4,2082,845,144571,11,6099,402,154339,2366126,,402,154339,154
2/27/2021,834,492683,61,9930,16145,307868,0,45428,0,285130,2286951,0,0,285130,622
2/27/2021,1374,773887,16,11393,23577,435414,33,18586,1785,748739,6769438,0,1785,748739,1038
2/26/2021,297,200403,15,2078,12277,143678,6,6088,184,153937,2356795,,184,153937,166
2/26/2021,90,99711,1,1472,5082,69636,1,3864,88,97562,1407119,,88,97562,21
2/26/2021,731,293542,25,6638,18254,185527,0,9012,0,273437,1729728,,0,273437,522
2/26/2021,516,318638,10,5407,9555,200532,98,14747,747,308725,2634339,,747,308725,504
2/26/2021,793,616018,5,6999,18204,439535,59,26013,872,548040,6860518,0,872,548040,304
2/26/2021,1573,772513,56,11377,26620,416149,47,18553,1754,746954,6753759,0,1754,746954,1432
2/26/2021,1147,482978,12,6462,22727,411197,58,25683,651,469149,6866911,,651,469149,263
2/26/2021,148,54350,0,671,1804,48449,4,1381,119,52998,636716,,119,52998,25
2/26/2021,143,112107,7,1879,4845,86836,2,6591,140,108284,688675,,140,108284,96
2/26/2021,656,184736,14,3685,12339,224643,25,13079,2240,141833,2669565,0,2240,141833,226
2/26/2021,739,491849,38,9869,11963,286095,116,45428,0,285130,2281648,0,0,285130,691
2/26/2021,970,380436,33,7838,17317,438535,89,34848,8,9643,7804095,,8,9643,943
2/26/2021,867,423023,18,4320,16676,345705,66,23879,1057,405367,3501011,,1057,405367,526
2/26/2021,1176,402926,30,4600,22104,316028,93,18981,132,47391,3891701,,132,47391,818
2/26/2021,1987,577980,46,16024,28241,445006,0,19444,0,494740,15997259,,0,494740,807
2/26/2021,325,74893,4,1167,5821,94796,3,1109,352,70899,1436668,,352,70899,95
2/26/2021,178,44295,0,701,106,96724,-2,1519,8,12794,1579975,,8,12794,68
2/26/2021,306,170595,10,1850,4614,116397,13,7057,427,93679,636533,,427,93679,143
2/26/2021,1749,513295,34,8477,13648,313285,80,20275,0,230793,4966441,0,0,230793,916
2/26/2021,1976,964380,58,17183,31402,804998,167,50118,3245,904270,9940287,,3245,904270,1235
2/26/2021,168,99613,4,1354,5052,81811,4,4571,184,96362,1069964,,184,96362,76
2/26/2021,651,370084,17,1907,338,168912,31,14628,1216,350198,2838991,0,1216,350198,254
2/25/2021,214,54202,0,671,2058,46240,3,1377,200,52879,633626,,200,52879,20
2/25/2021,965,615225,58,6994,11037,412649,61,25954,760,547168,6825405,0,760,547168,355
2/25/2021,203,99445,2,1350,2732,78148,8,4567,138,96178,1063419,,138,96178,75
2/25/2021,1443,401750,43,4570,17909,300918,29,18888,34,47259,3878912,,34,47259,843
2/25/2021,310,74568,6,1163,6571,91680,5,1106,229,70547,1436668,,229,70547,97
2/25/2021,920,292811,8,6613,309,163033,0,9012,0,273437,1728997,,0,273437,534
2/25/2021,2409,962404,80,17125,26384,775137,163,49951,3600,901025,9894516,,3600,901025,1262
2/25/2021,986,481831,7,6450,14000,390829,46,25625,529,468498,6831489,,529,468498,265
2/25/2021,2502,511546,45,8443,9713,300144,78,20195,0,230793,4932992,0,0,230793,939
2/25/2021,976,379466,16,7805,23161,414970,87,34759,9,9635,7755974,,9,9635,952
2/25/2021,324,200106,9,2063,9695,136378,23,6082,168,153753,2347453,,168,153753,160
2/25/2021,2108,575993,33,15978,24926,424922,0,19444,16944,494740,15894675,,16944,494740,853
2/25/2021,890,491110,87,9831,10498,268465,62,45312,9885,285130,2276188,0,9885,285130,722
2/25/2021,832,369433,11,1890,14109,168507,43,14597,1261,348982,2829905,0,1261,348982,248
2/25/2021,90,99621,1,1471,2477,66374,3,3863,85,97474,1403080,,85,97474,25
2/25/2021,156,111964,8,1872,4661,82296,19,6589,91,108144,686758,,91,108144,100
2/25/2021,299,184080,13,3671,8470,214411,30,13054,2343,139593,2652210,0,2343,139593,245
2/25/2021,726,318122,10,5397,6423,184592,0,14649,672,307978,2627733,,672,307978,522
2/25/2021,1146,422156,38,4302,16831,324341,45,23813,1151,404310,3456445,,1151,404310,491
2/25/2021,423,170289,0,1840,4117,110960,11,7044,393,93252,635314,,393,93252,143
2/25/2021,217,44117,24,701,80,96635,6,1521,7,12786,1567428,,7,12786,67
2/25/2021,1994,770940,55,11321,17043,396696,76,18506,1946,745200,6735104,0,1946,745200,1139
2/24/2021,798,421010,37,4264,17422,309461,68,23768,1214,403159,3445441,,1214,403159,591
2/24/2021,282,169866,14,1840,2391,104666,26,7033,286,92859,633858,,286,92859,110
2/24/2021,335,74258,2,1157,5807,88867,6,1101,278,70318,1419496,,278,70318,103
2/24/2021,380,199782,4,2054,5726,129779,11,6059,11249,153585,2335453,,11249,153585,178
2/24/2021,669,291891,28,6605,8387,162441,0,9012,0,273437,1728077,,0,273437,554
2/24/2021,115,99531,2,1470,1851,64769,1,3860,103,97389,1399342,,103,97389,28
2/24/2021,803,317396,10,5387,5452,172834,32,14649,924,307306,2618676,,924,307306,545
2/24/2021,812,368601,14,1879,7439,155000,34,14554,1564,347721,2819300,0,1564,347721,252
2/24/2021,2132,509044,41,8398,21937,286518,93,20117,0,230793,4905303,0,0,230793,968
2/24/2021,2102,573885,62,15945,18168,407380,268,19444,0,477796,15776531,,0,477796,875
2/24/2021,1247,490220,84,9744,10666,253615,0,45250,0,275245,2269033,0,0,275245,773
2/24/2021,44,53988,0,671,99,43164,1,1374,11,52679,629838,,11,52679,25
2/24/2021,841,614260,26,6936,8105,392949,55,25893,846,546408,6737019,0,846,546408,347
2/24/2021,1842,959995,77,17045,24763,738512,137,49788,3312,897425,9849578,,3312,897425,1338
2/24/2021,862,378490,27,7789,11280,398749,95,34672,20,9626,7718790,,20,9626,960
2/24/2021,262,111808,1,1864,3572,79453,22,6570,308,108053,685063,,308,108053,102
2/24/2021,1631,768946,68,11266,16843,380372,67,18430,2197,743254,6709400,0,2197,743254,1142
2/24/2021,754,480845,9,6443,10187,375311,51,25579,822,467969,6785781,,822,467969,292
2/24/2021,202,99242,2,1348,1470,75207,5,4559,268,96040,1056170,,268,96040,97
2/24/2021,164,43900,17,677,2829,96565,4,1515,7,12779,1556092,,7,12779,74
2/24/2021,1294,400307,51,4527,12797,285516,91,18859,158,47225,3862877,,158,47225,883
2/24/2021,446,183781,14,3658,3065,206504,35,13024,1642,137250,2642422,0,1642,137250,251
2/23/2021,357,199402,3,2050,7616,122653,17,6048,0,142336,2323010,,0,142336,166
2/23/2021,1453,488973,68,9660,10195,239425,122,45250,0,275245,2265086,0,0,275245,762
2/23/2021,44,53944,9,671,216,42996,1,1373,101,52668,625036,,101,52668,21
2/23/2021,716,367789,12,1865,140,146600,54,14520,1192,346157,2809360,0,1192,346157,271
2/23/2021,707,613419,39,6910,2735,378619,63,25838,636,545562,6709759,0,636,545562,347
2/23/2021,1237,571783,30,15883,19940,392631,0,19176,0,477796,15662404,,0,477796,879
2/23/2021,348,291222,24,6577,3425,151492,34,9012,8981,273437,1727408,,8981,273437,571
2/23/2021,434,169584,0,1826,2032,100979,24,7007,647,92573,632561,,647,92573,110
2/23/2021,1226,767315,45,11198,3807,361428,52,18363,2326,741057,6693645,0,2326,741057,1129
2/23/2021,258,73923,1,1155,5402,86394,2,1095,412,70040,1413885,,412,70040,112
2/23/2021,230,99040,5,1346,1378,73053,27,4554,473,95772,1052733,,473,95772,85
2/23/2021,359,420212,24,4227,5898,298327,16,23700,1348,401945,3430090,,1348,401945,602
2/23/2021,312,183335,9,3644,5291,203441,51,12989,1503,135608,2627817,0,1503,135608,261
2/23/2021,1323,506912,25,8357,4712,276492,30,20024,0,230793,4849625,0,0,230793,977
2/23/2021,212,111546,0,1863,635,77602,11,6548,207,107745,682960,,207,107745,91
2/23/2021,104,99416,0,1468,66,63709,-1,3859,122,97286,1395829,,122,97286,31
2/23/2021,1487,399013,16,4476,5776,274244,143,18768,288,47067,3857305,,288,47067,894
2/23/2021,500,480091,1,6434,11512,366321,50,25528,836,467147,6779613,,836,467147,269
2/23/2021,662,377628,30,7762,9555,381870,84,34577,0,9606,7689541,,0,9606,978
2/23/2021,142,43736,2,660,1422,93400,3,1511,6,12772,1543490,,6,12772,67
2/23/2021,2775,958153,94,16968,12104,705186,159,49651,4154,894113,9830863,,4154,894113,1359
2/23/2021,834,316593,14,5377,2328,164064,47,14617,912,306382,2609837,,912,306382,545
2/22/2021,0,169150,0,1826,8179,98837,0,6983,0,91926,630724,,0,91926,142
2/22/2021,242,290874,0,6553,7127,148214,0,8978,0,264456,1727060,,0,264456,560
2/22/2021,338,367073,1,1853,-38,146464,21,14466,578,344965,2801118,0,578,344965,265
2/22/2021,472,612712,0,6871,11123,374043,32,25775,676,544926,6692770,0,676,544926,348
2/22/2021,252,73665,0,1154,12990,85308,0,1093,309,69628,1413885,,309,69628,109
2/22/2021,234,183023,11,3635,14664,200459,22,12938,1886,134105,2619107,0,1886,134105,247
2/22/2021,1440,505589,8,8332,22061,272452,28,19994,1348,230793,4848302,0,1348,230793,993
