date,subregion1_name,subregion2_name,population,life_expectancy,new_confirmed,cumulative_confirmed,new_hospitalized_patients,cumulative_deceased,cumulative_tested,cumulative_hospitalized_patients,latitude,longitude,area_sq_km,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older
3/29/2021,Florida,Volusia County,537868,77.039048,168,38067,1,715,446171,1991,29.07,-81.14,1432,262165,275703,51890,56516,64725,57146,59474,77752,80163,56795,33407
3/29/2021,Florida,Pasco County,525141,76.321239,117,36256,6,687,450289,2448,28.3,-82.44,2248,255363,269778,56974,60730,55316,60624,66916,72485,67798,54229,30069
3/29/2021,Florida,Holmes County,19427,74.5,2,2212,1,47,18249,89,30.87,-85.81,1266,10341,9086,2061,2189,2607,2269,2517,2701,2438,1697,948
3/29/2021,Florida,Gilchrist County,17900,77.36,2,1487,0,37,16759,74,29.73,-82.8,921,9254,8646,1997,2297,2407,1877,1936,2524,2393,1583,886
3/29/2021,Florida,Manatee County,385506,78.997297,81,34697,3,635,473112,1470,27.48,-82.36,2312,186419,199087,38412,40327,39871,39607,42556,52661,58004,46439,27629
3/29/2021,Florida,Liberty County,8236,75.85,2,1054,0,16,7071,22,30.23,-84.89,2184,5045,3191,771,891,1256,1284,1266,1117,866,544,241
3/29/2021,New York,Bronx County,1440625,78.238413,500,138584,6,5253,2474866,20681,40.84676,-73.873207,148,679406,761219,206522,192013,232724,201512,176216,179469,129158,75481,47530
3/29/2021,Florida,Indian River County,154241,79.677778,34,11691,1,280,179496,823,27.7,-80.58,1598,74067,80174,13192,14961,14307,13654,15138,21094,25520,22196,14179
3/29/2021,New York,Queens County,2295808,81.48371,872,206417,3,7984,4675742,28488,40.704167,-73.917778,461,1113524,1182284,271278,236589,326769,346113,307424,316154,254786,143156,93539
3/29/2021,Florida,Martin County,159701,81.606452,28,11333,4,302,156912,744,27.08,-80.4,1950,78883,80818,13598,15532,14676,14463,16864,23421,24686,21523,14938
3/29/2021,Florida,Brevard County,587769,77.314815,113,37116,6,806,395600,2185,28.3,-80.7,4032,287247,300522,57188,63194,65332,62545,64508,92296,85624,60075,37007
3/29/2021,Florida,St. Lucie County,313163,77.727907,42,23935,2,584,294380,1658,27.38,-80.44,1782,152888,160275,33327,35703,34984,34344,36024,42952,42993,33545,19291
3/29/2021,Florida,Walton County,68021,78.136364,4,7304,0,83,41577,301,30.61,-86.17,1240,34509,33512,7878,7099,7229,8675,8382,10321,9874,5959,2604
3/29/2021,Florida,DeSoto County,37241,77.977778,7,4067,0,84,42506,289,27.19,-81.81,1656,21160,16081,3956,4123,5239,5013,4229,4523,4258,3811,2089
3/29/2021,Florida,Union County,15448,73.433333,1,1773,0,70,20297,82,30.04,-82.37,647,10109,5339,1595,1656,2239,2208,2058,2479,1762,1006,445
3/29/2021,Florida,Flagler County,109999,79.005263,26,6655,0,96,74255,366,29.47,-81.3,1478,52891,57108,9475,11455,9811,10087,11878,15054,19497,15372,7370
3/29/2021,Florida,Hardee County,27154,79.533333,2,2898,0,37,25656,222,27.49,-81.81,1653,14366,12788,3927,4032,3971,3145,3219,3150,2664,1928,1118
3/29/2021,Florida,Okaloosa County,203478,78.015789,11,19733,0,351,128928,708,30.6875,-86.5925,2802,103224,100254,26333,22774,31775,28666,21945,27420,23091,13869,7605
3/29/2021,Florida,Okeechobee County,41275,77.055556,16,3739,2,84,48561,404,27.39,-80.89,2309,22148,19127,4885,4908,5198,5056,5226,5384,4846,3721,2051
3/29/2021,Florida,Nassau County,82925,78.216667,6,7965,0,122,92283,311,30.61,-81.77,1880,40773,42152,8716,9357,8714,9420,10021,12196,12664,8272,3565
3/29/2021,Florida,Alachua County,266309,77.945238,61,23349,2,259,449365,1179,29.683333,-82.366667,2510,128758,137551,27795,33881,65948,33367,26352,28127,27081,15381,8377
3/29/2021,Florida,Miami-Dade County,2713295,80.555136,1307,444444,18,5815,5219092,12670,25.774167,-80.193611,6297,1318403,1394892,311086,309276,366360,375014,387072,381121,279069,184323,119974
3/29/2021,Florida,Duval County,937933,75.768263,134,92446,1,1297,1086985,2066,30.33,-81.65,2378,454866,483067,123320,110313,145093,136167,113871,124925,101155,54475,28614
3/29/2021,Florida,Glades County,13580,74.55,1,925,0,19,3356,69,26.95,-81.19,2555,7572,6008,1016,1331,1585,1686,1677,1756,1808,1829,892
3/29/2021,New York,Richmond County,475671,79.589216,248,55474,0,1493,1139900,5073,40.576281,-74.144839,265,230478,245193,55826,59252,63097,60160,62305,68677,56338,31654,18362
3/29/2021,Florida,Broward County,1934516,79.300597,730,213887,8,2629,2794159,9623,26.124354,-80.249503,3418,942414,992102,225540,227767,245152,261834,261712,280940,215325,132157,84089
3/29/2021,Florida,Monroe County,76483,79.424,18,6413,1,48,69542,269,25.12,-81.15,9679,39866,36617,6685,5965,8674,9510,9943,12592,12111,7598,3405
3/29/2021,Florida,Seminole County,462801,79.789873,105,29955,3,466,367754,1205,28.71,-81.23,893,223736,239065,51416,56748,63523,65265,63037,64753,51426,29636,16997
3/29/2021,Florida,Collier County,372678,81.591525,99,32407,7,492,324896,1634,26.08,-81.4,5970,183561,189117,34353,37207,35953,36072,39039,47389,53970,54899,33796
3/29/2021,Florida,Pinellas County,968341,77.648598,169,71969,5,1554,1052279,4622,27.9,-82.74,1574,464959,503382,85679,90087,108869,109916,113574,150281,143302,99814,66819
3/29/2021,Florida,Marion County,353339,75.448148,46,28996,3,916,301770,1973,29.21,-82.06,4307,169645,183694,35985,36473,37530,35631,36665,45072,52416,48438,25129
3/29/2021,Florida,Baker County,28254,75.95,2,3355,0,60,30328,177,30.32,-82.27,1525,14874,13380,3646,3798,3887,3886,3793,3747,2968,1701,828
3/29/2021,Florida,Clay County,212228,77.186207,28,17344,1,325,208263,907,29.98,-81.86,1667,104587,107641,25375,29687,25443,27041,28239,30471,25263,14414,6295
